"0x9eae7c","UNKNOWN","##UNKNOWN##","UNKNOWN","##UNKNOWN##","Pointer?","Starts Turn # (Turn # + 1)","Ends Turn # (Turn # + 1)","UNKNOWN","##UNKNOWN##"
"0x0","0x2","0x0","0xe","0x0","0x89fcf90","1","255","0x0","0x0"
"0x1","0x2","0x0","0x0","0x0","0x89fcf10","4","0","0x0","0x0"
"0x2","0x2","0x0","0x0","0x0","0x89fcf10","6","0","0x0","0x0"
"0x3","0x2","0x0","0x0","0x0","0x89fcf10","8","0","0x0","0x0"
"0x4","0x2","0x0","0x0","0x0","0x89fcf40","4","0","0x0","0x0"
"0x5","0x2","0x0","0x0","0x0","0x89fcf40","6","0","0x0","0x0"
"0x6","0x2","0x0","0x0","0x0","0x89fcf40","8","0","0x0","0x0"
"0x7","0x2","0x0","0x0","0x0","0x89fcf58","10","0","0x0","0x0"
"0x8","0x2","0x0","0x0","0x0","0x89fcf58","12","0","0x0","0x0"
"0x9","0x2","0x0","0x0","0x0","0x89fcf28","3","0","0x0","0x0"
"0xa","0x2","0x0","0x0","0x0","0x89fcf28","5","0","0x0","0x0"
"0xb","0x2","0x0","0x0","0x0","0x89fcf28","7","0","0x0","0x0"
"0xc","0x2","0x0","0x0","0x0","0x89fcf28","9","0","0x0","0x0"
"0xd","0x2","0x0","0x0","0x0","0x89fcf28","11","0","0x0","0x0"
